Time   ID     DLC Data                    Comment
00.000 2C3      8 00 15 0F 00 FF 70 FF FF 
00.000 242      6 D1 F3 FF FF FF FF       
00.000 2BF      3 FF FF FF                
00.000 2E6      8 00 24 64 32 1B 00 1F 26 
00.000 2EA      8 FF FF FF FF FF 00 3F 26 
00.000 510      8 00 00 00 00 FF FF 00 10 
00.000 3A0      8 FF FF C0 FF FF FF FF FD 
00.000 3A5      5 E1 D5 FF FF FF          
00.000 3B6      3 54 FE E0                
00.000 26E      8 00 00 00 50 FF FF FF FF 
00.000 412      8 FF FF FF FF FF FF FF FF 
00.000 1D6      2 F0 CC                   
00.000 1EE      2 00 FC                   
00.000 0F0      8 F4 FF FF FF FF FF FF FF 
00.000 2A6      2 00 E8                   
00.000 26E      8 FF FF 12 11 11 51 F1 FF 
00.000 423      8 21 A0 FA FF FF FF FF FF 
00.000 3BE      3 70 F0 00                
00.000 1E1      6 58 FB 04 FF FF FF       
00.000 5F8      8 F6 04 F0 FF FF FF FF FF 
00.000 414      7 FF FF FF FF FF FF FF    
00.000 5E1      8 0C 02 00 32 00 03 FF FF 
00.000 246      6 3F F3 00 FC FF FF       
00.000 5F8      8 13 FF C1 78 FF FF FF FF 
00.000 5E1      8 6F 61 FF FF 00 04 00 00 
00.000 257      8 A7 04 FF FF FF FF FF FF 
00.000 349      5 FF FF FF FF 00          
00.000 0EC      8 FF FF FF FF 00 0F FC FF 
00.000 130      5 00 F0 FC FF FF          
00.000 12F      8 A1 21 86 1C F1 01 30 02 
00.000 1E4      8 33 F9 29 29 11 11 FF FF 
00.000 1B6      7 FF FF FF FF FF FF FF    
00.000 0A5      8 C1 01 B3 37 7B 00 00 70 
00.000 0D9      8 0E F1 00 00 00 E0 7F C0 
00.000 0F3      8 85 01 00 C0 F0 C0 FF FF 
00.000 3F9      8 AA F1 80 34 3A 00 10 00 
00.000 3FB      7 C3 00 01 10 01 00 FF    
00.000 561      8 40 61 00 00 00 00 00 00 
00.000 1AE      2 FB FF                   
00.000 257      8 FA 05 FF FF FF FF FF FF 
00.000 0D9      8 07 F2 00 10 00 E0 7F C0 
00.000 300      8 3E 2E 59 96 65 19 90 65 
00.000 2BF      3 FF FF FF                
00.000 1A6      8 00 00 00 00 00 00 A0 F0 
00.000 510      8 00 00 00 00 FF FF 00 10 
00.000 36B      8 FE FF FE FF FE FF FE FF 
00.000 1B9      5 00 00 C8 FF 19          
00.000 0D9      8 5A F3 00 10 00 E0 7F C0 
00.000 173      8 E5 F0 00 0E E0 00 0E 00 
00.000 3F9      8 45 F2 80 34 3A 00 10 6C 
00.000 3B9      3 4E F6 E0                
00.000 3B7      3 4E F6 E0                
00.000 3FB      7 C3 01 01 10 01 00 FF    
